G.U.N.T. Geraetebau GmbH
WL440

Plate
Exp3


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/4/2025 1:59:27 PM	7740	106	1000	28.4	20.0	1.35	23.1	23.7	23.5	58.3	35.2	0.100
2/4/2025 1:59:48 PM	7973	107	1000	28.5	20.0	1.38	23.1	23.7	23.5	58.2	35.1	0.100
2/4/2025 1:59:29 PM	8029	106	1000	28.4	20.0	1.39	23.1	23.7	23.5	58.3	35.2	0.100
2/4/2025 1:59:31 PM	8145	106	1000	28.4	20.0	1.44	23.1	23.7	23.5	58.3	35.2	0.100
2/4/2025 1:59:46 PM	8147	106	1000	28.5	20.0	1.40	23.1	23.7	23.5	58.1	35.1	0.100
2/4/2025 1:59:23 PM	8202	106	1000	28.4	20.0	1.39	23.1	23.7	23.5	58.3	35.3	0.100
2/4/2025 1:59:33 PM	8204	106	1000	28.5	20.0	1.43	23.1	23.7	23.5	58.2	35.1	0.100
2/4/2025 1:59:43 PM	8205	106	1000	28.5	20.0	1.43	23.1	23.7	23.5	58.2	35.1	0.100
2/4/2025 1:59:38 PM	8262	106	1000	28.5	20.0	1.42	23.1	23.7	23.5	58.2	35.1	0.100
2/4/2025 1:59:41 PM	8262	106	1000	28.5	20.0	1.42	23.1	23.7	23.5	58.2	35.1	0.100
2/4/2025 1:59:35 PM	8320	106	1000	28.5	20.0	1.44	23.1	23.7	23.5	58.2	35.2	0.100
