G.U.N.T. Geraetebau GmbH
WL440

Plate
Trial1Exp25W


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/4/2025 1:40:01 PM	8369	118	250	30.6	5.0	1.34	23.1	23.2	23.5	31.3	8.2	0.100
2/4/2025 1:40:20 PM	8431	117	250	30.3	5.0	1.34	23.1	23.2	23.5	31.4	8.3	0.100
2/4/2025 1:40:16 PM	8494	117	250	30.2	5.0	1.35	23.1	23.2	23.5	31.4	8.3	0.100
2/4/2025 1:40:13 PM	8556	117	250	30.4	5.0	1.35	23.1	23.2	23.5	31.4	8.2	0.100
2/4/2025 1:40:11 PM	8557	117	250	30.4	5.0	1.38	23.1	23.2	23.5	31.4	8.2	0.100
2/4/2025 1:40:09 PM	8619	118	250	30.5	5.0	1.37	23.1	23.2	23.5	31.3	8.2	0.100
2/4/2025 1:40:06 PM	8620	118	250	30.5	5.0	1.37	23.1	23.2	23.5	31.3	8.2	0.100
2/4/2025 1:40:04 PM	8620	118	250	30.5	5.0	1.38	23.1	23.2	23.5	31.3	8.2	0.100
2/4/2025 1:40:18 PM	8681	117	250	30.3	5.0	1.36	23.1	23.2	23.5	31.4	8.3	0.100
2/4/2025 1:40:22 PM	8743	117	250	30.3	5.0	1.40	23.1	23.2	23.5	31.4	8.3	0.100
