title,intro
G.U.N.T. Geraetebau GmbH
WL440
Plate
Trial1Exp4_50perc
Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L
2/4/2025 2:20:33 PM	18482	186	492	48.2	9.8	3.01	22.8	22.9	23.4	33.0	10.2	0.100
2/4/2025 2:20:44 PM	19104	187	492	48.5	9.8	3.04	22.8	22.9	23.4	32.9	10.1	0.100
2/4/2025 2:20:38 PM	19168	188	497	48.8	9.9	3.12	22.8	22.9	23.4	32.9	10.2	0.100
2/4/2025 2:20:42 PM	19169	187	492	48.5	9.8	3.07	22.8	22.9	23.4	32.9	10.2	0.100
2/4/2025 2:20:34 PM	19228	186	492	48.3	9.8	3.16	22.8	22.9	23.4	33.0	10.2	0.100
2/4/2025 2:20:24 PM	19478	185	491	48.0	9.8	3.12	22.7	22.8	23.4	33.0	10.2	0.100
2/4/2025 2:20:31 PM	19599	187	492	48.4	9.8	3.09	22.8	22.9	23.4	33.0	10.2	0.100
2/4/2025 2:20:40 PM	19605	187	492	48.4	9.8	3.12	22.8	22.9	23.4	32.9	10.2	0.100
2/4/2025 2:20:36 PM	19665	188	496	48.8	9.9	3.13	22.8	22.9	23.4	32.9	10.2	0.100
2/4/2025 2:20:28 PM	19787	192	507	49.8	10.1	3.16	22.8	22.9	23.4	33.0	10.2	0.100
2/4/2025 2:20:26 PM	19851	191	507	49.6	10.1	3.18	22.8	22.9	23.4	33.0	10.2	0.100
