G.U.N.T. Geraetebau GmbH
WL440

Plate
1 fin in the middle experiment 2 with 20W


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/11/2025 1:29:32 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.8	23.0	60.4	37.3	0.100
2/11/2025 1:29:10 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.9	23.0	60.4	37.2	0.100
2/11/2025 1:29:28 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.8	23.0	60.4	37.2	0.100
2/11/2025 1:29:07 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.2	23.8	23.0	60.4	37.2	0.100
2/11/2025 1:29:25 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.2	23.8	23.0	60.4	37.2	0.100
2/11/2025 1:29:13 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.8	23.0	60.4	37.2	0.100
2/11/2025 1:28:59 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.2	23.9	23.0	60.4	37.2	0.100
2/11/2025 1:29:02 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.9	23.0	60.4	37.2	0.100
2/11/2025 1:29:04 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.2	23.9	23.0	60.4	37.2	0.100
2/11/2025 1:28:58 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.2	23.9	23.0	60.5	37.2	0.100
2/11/2025 1:28:50 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.3	23.9	23.0	60.4	37.1	0.100
2/11/2025 1:28:55 PM	NaN	NaN	NaN	NaN	20.0	1.38	23.3	23.9	23.0	60.4	37.2	0.100
2/11/2025 1:29:17 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.2	23.8	23.0	60.4	37.2	0.100
2/11/2025 1:28:46 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.3	23.9	23.0	60.4	37.1	0.100
