G.U.N.T. Geraetebau GmbH
WL440

Plate
1 fin in the middle experiment 3 20 W 25%


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/11/2025 1:40:09 PM	NaN	NaN	NaN	NaN	20.0	1.35	23.1	23.7	23.0	58.9	35.9	0.100
2/11/2025 1:40:06 PM	NaN	NaN	NaN	NaN	20.0	1.33	23.1	23.7	23.0	58.9	35.9	0.100
2/11/2025 1:39:45 PM	NaN	NaN	NaN	NaN	20.0	1.31	23.1	23.8	23.0	59.0	35.9	0.100
2/11/2025 1:39:52 PM	NaN	NaN	NaN	NaN	20.0	1.38	23.1	23.8	23.0	59.0	35.9	0.100
2/11/2025 1:39:56 PM	NaN	NaN	NaN	NaN	20.0	1.36	23.1	23.8	23.0	59.0	35.9	0.100
2/11/2025 1:40:03 PM	NaN	NaN	NaN	NaN	20.0	1.34	23.1	23.7	23.0	58.9	35.9	0.100
2/11/2025 1:39:50 PM	NaN	NaN	NaN	NaN	20.0	1.34	23.1	23.8	23.0	59.0	35.9	0.100
2/11/2025 1:39:57 PM	NaN	NaN	NaN	NaN	20.0	1.34	23.1	23.7	23.0	59.0	35.9	0.100
2/11/2025 1:39:47 PM	NaN	NaN	NaN	NaN	20.0	1.32	23.1	23.8	23.0	59.0	35.9	0.100
2/11/2025 1:40:01 PM	NaN	NaN	NaN	NaN	20.0	1.36	23.1	23.7	23.0	59.0	35.9	0.100
2/11/2025 1:39:42 PM	NaN	NaN	NaN	NaN	20.0	1.35	23.1	23.8	23.0	59.0	35.9	0.100
