G.U.N.T. Geraetebau GmbH
WL440

Plate


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/18/2025 2:26:07 PM	8655	208	250	53.6	5.0	1.41	23.0	23.0	23.2	27.6	4.7	0.100
2/18/2025 2:26:11 PM	8718	210	250	54.0	5.0	1.38	23.0	23.0	23.2	27.7	4.6	0.100
2/18/2025 2:26:16 PM	8781	209	250	53.9	5.0	1.41	23.0	23.0	23.2	27.7	4.6	0.100
2/18/2025 2:26:10 PM	8781	210	250	54.1	5.0	1.38	23.0	23.0	23.2	27.6	4.6	0.100
2/18/2025 2:26:12 PM	8781	208	250	53.6	5.0	1.39	23.0	23.0	23.2	27.7	4.7	0.100
2/18/2025 2:26:10 PM	8844	210	250	54.1	5.0	1.38	23.0	23.0	23.2	27.6	4.6	0.100
2/18/2025 2:26:14 PM	8907	208	250	53.7	5.0	1.42	23.0	23.0	23.2	27.7	4.6	0.100
2/18/2025 2:26:17 PM	8907	209	250	53.9	5.0	1.40	23.0	23.0	23.2	27.7	4.6	0.100
2/18/2025 2:26:16 PM	8971	208	250	53.7	5.0	1.41	23.0	23.0	23.2	27.7	4.6	0.100
2/18/2025 2:26:09 PM	8971	209	250	53.9	5.0	1.42	23.0	23.0	23.2	27.6	4.6	0.100
2/18/2025 2:26:08 PM	8971	209	250	53.8	5.0	1.42	23.0	23.0	23.2	27.6	4.6	0.100
2/18/2025 2:26:15 PM	9034	208	250	53.6	5.0	1.43	23.0	23.0	23.2	27.7	4.7	0.100
