G.U.N.T. Geraetebau GmbH
WL440

Plate


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/18/2025 1:46:17 PM	8483	254	250	65.2	5.0	1.36	23.1	23.1	23.0	26.9	3.8	0.100
2/18/2025 1:46:19 PM	8547	254	250	65.2	5.0	1.35	23.1	23.1	23.0	26.9	3.8	0.100
2/18/2025 1:46:03 PM	8610	250	250	64.2	5.0	1.34	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:16 PM	8611	253	250	65.0	5.0	1.35	23.0	23.1	23.0	26.9	3.8	0.100
2/18/2025 1:46:20 PM	8673	254	250	65.4	5.0	1.35	23.1	23.1	23.0	26.9	3.8	0.100
2/18/2025 1:46:08 PM	8674	250	250	64.2	5.0	1.36	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:05 PM	8737	250	250	64.4	5.0	1.38	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:13 PM	8738	252	250	64.7	5.0	1.39	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:06 PM	8800	252	250	64.9	5.0	1.39	23.1	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:15 PM	8801	253	250	65.0	5.0	1.40	23.0	23.1	23.0	26.9	3.8	0.100
2/18/2025 1:46:09 PM	8864	251	250	64.5	5.0	1.41	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:12 PM	8864	250	250	64.4	5.0	1.38	23.0	23.1	23.0	26.9	3.9	0.100
2/18/2025 1:46:10 PM	9054	251	250	64.5	5.0	1.42	23.0	23.1	23.0	26.9	3.9	0.100
