G.U.N.T. Geraetebau GmbH
WL440

Plate


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/18/2025 1:07:49 PM	8441	181	500	46.9	10.0	1.36	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:57 PM	8503	181	500	47.0	10.0	1.38	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:41 PM	8503	181	500	46.9	10.0	1.39	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:48 PM	8504	181	500	47.0	10.0	1.36	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:56 PM	8627	181	500	46.9	10.0	1.38	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:50 PM	8628	181	500	47.0	10.0	1.40	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:42 PM	8751	181	500	46.9	10.0	1.41	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:52 PM	8752	181	500	47.0	10.0	1.41	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:51 PM	8752	181	500	47.0	10.0	1.41	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:45 PM	8752	181	500	46.9	10.0	1.41	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:47 PM	8753	181	500	46.9	10.0	1.39	22.9	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:54 PM	8875	181	500	47.0	10.0	1.44	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:44 PM	8876	181	500	47.0	10.0	1.42	23.0	23.2	22.9	33.6	10.6	0.100
2/18/2025 1:07:55 PM	8937	181	500	47.0	10.0	1.41	23.0	23.2	22.9	33.6	10.6	0.100
