G.U.N.T. Geraetebau GmbH
WL440

Plate
6 fins middle (vertical) experiment 2 laminar 25% fab and 20W


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/11/2025 2:24:41 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.0	23.9	23.0	54.3	31.2	0.100
2/11/2025 2:24:12 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:38 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.0	23.9	23.0	54.3	31.3	0.100
2/11/2025 2:24:25 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.0	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:36 PM	NaN	NaN	NaN	NaN	20.0	1.44	23.0	23.9	23.0	54.3	31.3	0.100
2/11/2025 2:24:31 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.0	23.9	23.0	54.3	31.3	0.100
2/11/2025 2:24:17 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.0	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:16 PM	NaN	NaN	NaN	NaN	20.0	1.40	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:08 PM	NaN	NaN	NaN	NaN	20.0	1.44	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:14 PM	NaN	NaN	NaN	NaN	19.7	1.42	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:28 PM	NaN	NaN	NaN	NaN	20.0	1.40	23.0	23.9	23.0	54.3	31.3	0.100
2/11/2025 2:24:03 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:34 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.9	23.0	54.3	31.3	0.100
2/11/2025 2:24:10 PM	NaN	NaN	NaN	NaN	20.0	1.42	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:23 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:06 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:21 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.0	23.9	23.0	54.4	31.4	0.100
2/11/2025 2:24:05 PM	NaN	NaN	NaN	NaN	20.0	1.40	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:19 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.1	23.9	23.0	54.4	31.3	0.100
2/11/2025 2:24:02 PM	NaN	NaN	NaN	NaN	20.0	1.43	23.1	23.9	23.0	54.4	31.4	0.100
