G.U.N.T. Geraetebau GmbH
WL440

Plate
6 fins middle turbulant 25% fan 20W exp 3


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/11/2025 2:33:12 PM	NaN	NaN	NaN	NaN	20.0	1.36	23.0	23.8	22.9	53.0	30.1	0.100
2/11/2025 2:33:09 PM	NaN	NaN	NaN	NaN	20.0	1.36	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:57 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:33:01 PM	NaN	NaN	NaN	NaN	20.0	1.37	23.0	23.8	22.9	53.0	30.1	0.100
2/11/2025 2:33:04 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:33:08 PM	NaN	NaN	NaN	NaN	20.0	1.38	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:47 PM	NaN	NaN	NaN	NaN	20.0	1.38	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:59 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:55 PM	NaN	NaN	NaN	NaN	20.0	1.34	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:33:05 PM	NaN	NaN	NaN	NaN	20.0	1.40	23.0	23.8	22.9	53.0	30.1	0.100
2/11/2025 2:32:51 PM	NaN	NaN	NaN	NaN	20.0	1.41	23.1	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:33:03 PM	NaN	NaN	NaN	NaN	20.0	1.37	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:49 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:53 PM	NaN	NaN	NaN	NaN	20.0	1.39	23.0	23.8	22.9	53.0	30.0	0.100
2/11/2025 2:32:45 PM	NaN	NaN	NaN	NaN	20.0	1.34	23.0	23.8	22.9	53.0	30.0	0.100
