G.U.N.T. Geraetebau GmbH
WL440

Plate
6 fins middle turbulant 50% fan 20W


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/11/2025 2:46:01 PM	NaN	NaN	NaN	NaN	20.0	3.18	22.6	22.9	23.0	39.8	17.2	0.100
2/11/2025 2:45:59 PM	NaN	NaN	NaN	NaN	20.0	3.21	22.6	22.9	23.0	39.8	17.3	0.100
2/11/2025 2:45:46 PM	NaN	NaN	NaN	NaN	20.0	3.17	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:50 PM	NaN	NaN	NaN	NaN	20.0	3.17	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:54 PM	NaN	NaN	NaN	NaN	20.0	3.22	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:57 PM	NaN	NaN	NaN	NaN	20.0	3.21	22.6	22.9	23.0	39.8	17.3	0.100
2/11/2025 2:45:38 PM	NaN	NaN	NaN	NaN	20.0	3.16	22.6	23.0	23.0	39.9	17.2	0.100
2/11/2025 2:45:48 PM	NaN	NaN	NaN	NaN	20.0	3.21	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:44 PM	NaN	NaN	NaN	NaN	20.0	3.16	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:56 PM	NaN	NaN	NaN	NaN	20.0	3.24	22.6	22.9	23.0	39.8	17.3	0.100
2/11/2025 2:45:41 PM	NaN	NaN	NaN	NaN	20.0	3.11	22.6	23.0	23.0	39.9	17.3	0.100
2/11/2025 2:45:52 PM	NaN	NaN	NaN	NaN	20.0	3.19	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:39 PM	NaN	NaN	NaN	NaN	20.0	3.18	22.6	23.0	23.0	39.9	17.2	0.100
2/11/2025 2:45:42 PM	NaN	NaN	NaN	NaN	20.0	3.23	22.6	22.9	23.0	39.9	17.3	0.100
2/11/2025 2:45:37 PM	NaN	NaN	NaN	NaN	19.7	3.13	22.6	23.0	23.0	39.9	17.2	0.100
