G.U.N.T. Geraetebau GmbH
WL440

Plate
Trial1Exp1


Graph 1
t	Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
2/4/2025 12:57:56 PM	-55	36	506	9.9	10.1	-0.01	24.0	27.5	23.7	74.9	50.9	0.100
2/4/2025 1:00:55 PM	0	36	489	9.8	9.8	0.00	24.0	28.2	23.5	73.8	49.7	0.100
2/4/2025 1:00:47 PM	0	36	490	9.8	9.8	0.00	24.1	28.2	23.5	73.8	49.8	0.100
2/4/2025 1:01:12 PM	0	37	502	10.1	10.0	0.00	24.0	28.2	23.5	73.7	49.6	0.100
2/4/2025 1:01:05 PM	0	37	503	10.1	10.1	0.00	24.0	28.2	23.5	73.7	49.7	0.100
2/4/2025 1:00:38 PM	0	37	506	10.2	10.1	0.00	24.1	28.2	23.6	73.9	49.8	0.100
2/4/2025 1:01:32 PM	0	37	504	10.2	10.1	0.00	24.0	28.3	23.5	73.6	49.6	0.100
2/4/2025 1:01:02 PM	0	37	506	10.2	10.1	0.00	24.0	28.2	23.5	73.7	49.7	0.100
2/4/2025 1:01:18 PM	0	37	506	10.2	10.1	0.00	24.0	28.2	23.5	73.6	49.6	0.100
2/4/2025 1:01:27 PM	0	37	507	10.2	10.1	0.00	24.0	28.3	23.5	73.6	49.6	0.100
2/4/2025 1:01:23 PM	55	37	503	10.1	10.1	0.00	24.0	28.3	23.5	73.6	49.6	0.100
2/4/2025 1:00:25 PM	496	37	503	10.1	10.1	0.00	24.1	28.2	23.6	74.0	49.9	0.100
